id,title,description,salary,location,employment_type,ai_used,requirements,benefits,employer
11,Laboratory Technician,"Assist with sample preparation, basic lab tests, and data entry. Work may include handling biological materials and working some weekends.","$24/hour","London, ON","Part-time","No","Lab diploma or equivalent; attention to detail; data entry skills","Shift differential for evenings/weekends","Ontario Diagnostics Lab"
12,Healthcare Data Coordinator,"Support analysis of healthcare utilization data. You will clean and organize datasets and produce basic reports used for planning.","$55,000-$65,000","Remote (Ontario)","Full-time","Yes","Excel or BI tools; experience with data cleaning; interest in healthcare systems","Remote work; health benefits; professional development budget","CareSight Analytics"
13,Educational Assistant,"Provide classroom support to teachers, assist with student activities, and help manage classroom behaviour. Some lifting or outdoor supervision may be required.","$23/hour","Markham, ON","Part-time","No","Experience working with children; patience; clear communication","School year schedule; unionized position","Yorkview Public School Board"
14,Tutor - Mathematics,"Provide one-on-one or small group tutoring in high school math. Sessions may be held online or at local centers. Evening availability required.","","Remote / GTA","Contract","Unknown","Strong math skills; prior tutoring experience preferred; reliable internet","Flexible schedule","BrightPath Learning Centre"
15,Instructional Designer (Contract),"Work with faculty to design and update digital course materials and online learning activities. Short timelines may be required for some deliverables.","$40-$50/hour","Toronto, ON","Contract","Yes","Experience with LMS platforms; instructional design principles; writing skills","Remote-first; project-based work","SenecaSkills Online Programs"
16,Student Success Advisor,"Support students through advising sessions, workshops, and referrals to campus resources. Occasional evening events and weekend open houses.","$58,000-$70,000","Toronto, ON","Full-time","No","Post-secondary degree; counselling or advising experience; strong listening skills","Pension; health and dental; professional development days","Central Lakes College"
17,Apprentice Electrician,"Assist licensed electricians with installations, maintenance, and repairs at residential and commercial sites. Work may involve heights and confined spaces.","$22-$28/hour","Mississauga, ON","Full-time","Unknown","Enrolled in or eligible for apprenticeship; ability to lift heavy equipment; safety awareness","Tools allowance; overtime pay","BrightCurrent Electrical"
18,General Labourer - Construction,"Support construction crews with site cleanup, material handling, and basic tasks. Work is physically demanding and outdoors in all weather.","","Burlington, ON","Full-time","No","Ability to lift 50 lbs; safety boots; willingness to work early mornings","Overtime potential; seasonal bonus","NorthRock Builders"
19,HVAC Technician,"Install, maintain, and repair heating and cooling systems for residential clients. On-call rotation for emergency calls, including nights and weekends.","$30-$40/hour","GTA, ON","Full-time","Yes","HVAC certification; driver's license; customer service skills","Company vehicle; benefits; uniform provided","ComfortAir Services"
20,Plumbing Apprentice,"Assist plumbers in installing and repairing fixtures in residential and light commercial settings. Training provided on the job.","$20/hour","Ottawa, ON","Full-time","Unknown","Interest in plumbing trade; physical stamina; team player","Apprenticeship sponsorship; tool discount","FlowRight Plumbing"
21,Junior Financial Analyst,"Support senior analysts with financial modeling, variance analysis, and monthly reporting. Some overtime may be required at month-end.","$60,000-$70,000","Toronto, ON","Full-time","Yes","Degree in finance, accounting, or related field; Excel proficiency; analytical skills","Health and dental; bonus eligibility","Bayfront Capital Partners"
22,Banking Customer Service Representative,"Handle client inquiries, process basic transactions, and promote banking products. Sales targets apply but are not clearly defined.","","Brampton, ON","Full-time","Unknown","Customer service experience; comfort discussing financial products; attention to detail","Employee banking perks; basic benefits","Northern Maple Bank"
23,Payroll Specialist,"Manage bi-weekly payroll processing and resolve discrepancies. Must maintain confidentiality and meet strict deadlines.","$50,000-$60,000","Kitchener, ON","Full-time","No","Experience with payroll systems; understanding of labour standards; Excel skills","Hybrid work; health benefits; paid vacation","Evergreen Manufacturing Inc."
24,Risk & Compliance Assistant,"Assist the compliance team with monitoring policies, reviewing documentation, and preparing reports related to financial regulations. May involve reviewing large volumes of text.","","Remote (Ontario)","Contract","Yes","Attention to detail; strong reading comprehension; interest in regulations","Remote work; flexible hours within business days","CanShield Financial Group"
25,Mobile App Developer,"Help maintain and optimize our Android and iOS apps. Occasional support during mobile release days.","$70,000-$85,000","Waterloo, ON","Full-time","Yes","Kotlin/Java or Swift; API integration; Git; UI/UX understanding","Health and dental; work-from-home flexibility; bonus program","PineWave Mobility"
26,DevOps Engineer,"Build CI/CD pipelines and automate deployment processes. Rotating weekend maintenance may be required.","","Toronto, ON","Full-time","Yes","Docker/Kubernetes; CI/CD tools; scripting; cloud knowledge","Stock options; extended health; learning stipend","SealPoint Cloud Systems"
27,UX Research Assistant,"Conduct user interviews and usability testing to guide design decisions. Some travel to client sites may be required.","$25-$32/hour","GTA, ON","Part-time","No","Interviewing experience; UX research methods; note-taking skills","Travel reimbursement; mentorship program","BlueMap Design Studio"
28,IT Support Technician,"Provide technical support to staff. Must resolve issues quickly and document troubleshooting steps.","","North York, ON","Full-time","Unknown","Customer service; hardware/software troubleshooting; ticket systems","Equipment provided; on-site parking","TechWorks Support Services"
29,Retail Inventory Clerk,"Track inventory levels, handle stock shipments, and organize storage areas. Heavy lifting required.","$18/hour","Hamilton, ON","Part-time","No","Lifting up to 50 lbs; organization; basic computer skills","Store discount; paid breaks","CityMart Wholesale Depot"
30,Retail Visual Merchandiser,"Design product displays and signage for seasonal campaigns. Must meet strict deadlines around holiday promotions.","$21-$25/hour","Oshawa, ON","Contract","Unknown","Design sense; retail experience; ability to work quickly","Employee discount; creative autonomy","HomeCraft Furnishings"
31,Pharmacy Assistant,"Prepare prescriptions, manage inventory, and communicate with patients. Some evening and weekend shifts required.","","Mississauga, ON","Full-time","No","Pharmacy assistant diploma or experience; attention to detail","Paid training; uniform provided","HealthFirst Pharmacy Group"
32,Medical Office Cleaner,"Maintain cleanliness of exam rooms, washrooms, and waiting areas. Must handle biohazard disposal following procedures.","$18/hour","Toronto, ON","Part-time","Unknown","Ability to lift 20 lbs; attention to detail; reliable","Shift premiums for late hours","Horizon Family Clinics"
33,Childcare Assistant,"Supervise children, lead activities, and assist with meals. Must follow safety and allergy protocols.","","Barrie, ON","Contract","No","Experience with young children; first aid; patience","Ongoing training; staff snacks","Little Sprouts Childcare"
34,Online Course Content Reviewer,"Review digital learning content for accessibility and accuracy. Work is asynchronous with deadlines.","$27-$35/hour","Remote (Ontario)","Contract","Yes","Attention to detail; writing/editing skills; LMS familiarity","Remote work; flexible hours","EduAccess Digital"
35,Carpenter Apprentice,"Assist journeyman carpenters with framing, installation, and repairs. Outdoor work in variable weather.","$20-$24/hour","Niagara, ON","Full-time","Unknown","Interest in woodworking; ability to lift heavy tools","Equipment allowance; safety training","NorthWood Construction"
36,Window Installer Helper,"Support installation teams with preparation and clean-up. Must be comfortable with heights.","","Scarborough, ON","Full-time","No","Comfort on ladders; teamwork; lifting 50+ lbs","Overtime opportunities; holiday bonuses","ClearView Installers"
37,Auto Body Repair Trainee,"Assist with sanding, buffing, and prep work. May handle chemicals and loud machinery.","$19-$23/hour","Richmond Hill, ON","Full-time","Unknown","Safety awareness; ability to follow instructions","Tools discount; protective gear provided","AutoCraft Collision"
38,Financial Customer Support Agent,"Respond to client inquiries about banking products via chat and phone. Commission may apply based on referrals.","","Remote (Ontario)","Full-time","Yes","Communication; sales comfort; multitasking; typing speed","Commission eligibility; remote equipment","TrustWave Banking"
39,Accounts Payable Clerk,"Process invoices and verify transaction records. Must meet accuracy targets to avoid penalties.","$45,000-$52,000","Mississauga, ON","Full-time","No","Excel; bookkeeping knowledge; attention to detail","Health benefits; pension contributions","PrimeLink Manufacturing"
40,Junior Accountant,"Support senior accountants with journal entries and reconciliations. Overtime may be required in tax season.","$48,000-$58,000","Toronto, ON","Full-time","Unknown","CPA student preferred; Excel; analytical skills","Study support; health and vision","NorthRiver Accounting"
41,Financial Risk Intern,"Assist with reviewing compliance reports and financial documents. Must maintain confidentiality.","","Remote (Ontario)","Internship","Yes","Excel; attention to detail; interest in finance","Professional mentorship; remote work","GranitePoint Capital"
42,Full-Stack Developer,"Build end-to-end features for our payroll product ecosystem. Flexible learning budget available.","$75,000-$95,000","Waterloo, ON","Full-time","Yes","React/Node or similar; databases; API design","Education budget; hybrid; stock options","PayLogic Systems"
43,Tech Support Chat Agent,"Assist customers with troubleshooting banking or login issues through chat only. Fast responses expected.","$19/hour","Remote (Ontario)","Full-time","Unknown","Typing speed; customer service; basic troubleshooting","Remote work; monthly performance bonuses","EastPine Digital Banking"
44,Machine Learning Intern,"Work with senior ML engineers to annotate training data and build small model prototypes.","","Toronto, ON","Internship","Yes","Python; interest in ML; data labeling","Hybrid; mentorship; snack allowance","DeepNorth AI Labs"
